BodyLength,CleanBodyLength,TitleLength,BodyWords,CleanBodyWords,TitleWords,ContainsCode,LinkCount,LinkLiveCount,ParagraphsCount,TagsCount,Y
313,306,38,55,55,6,False,0,0,1,2,LQ_CLOSE
113,106,33,19,19,5,False,0,0,1,2,HQ
4814,505,53,1240,1240,8,True,1,0,3,5,HQ
674,383,42,91,91,8,True,0,0,8,5,HQ
384,366,34,28,28,5,False,1,0,2,3,HQ
1001,343,65,151,151,9,True,0,0,5,3,LQ_CLOSE
189,189,87,32,32,14,False,0,0,0,3,LQ_EDIT
952,928,32,389,389,4,False,0,0,0,4,LQ_EDIT
603,517,53,78,78,8,True,0,0,5,4,HQ
371,371,28,76,76,4,False,0,0,0,1,LQ_EDIT
1832,449,62,198,198,9,True,1,0,4,5,HQ
387,380,39,71,71,8,False,0,0,1,2,LQ_CLOSE
512,512,78,90,90,10,False,0,0,0,3,LQ_EDIT
1741,1731,29,406,406,6,False,0,0,0,1,LQ_EDIT
3051,128,62,312,312,8,True,0,0,3,2,HQ
912,504,29,192,192,4,True,1,0,5,3,HQ
1451,846,99,180,180,12,True,0,0,11,3,HQ
744,665,34,107,107,7,True,0,0,4,3,HQ
601,601,75,102,102,14,False,0,0,0,2,LQ_EDIT
283,258,55,30,30,7,False,1,0,3,1,HQ
358,321,43,33,33,6,True,1,0,1,2,HQ
327,320,41,61,61,9,False,0,0,1,2,LQ_CLOSE
2935,2935,43,1252,1252,6,False,0,0,0,4,LQ_EDIT
1192,1190,25,99,99,3,False,0,0,0,1,LQ_EDIT
1201,629,77,233,233,14,True,0,0,7,1,HQ
452,417,72,76,76,14,False,0,0,5,1,LQ_CLOSE
960,687,62,126,126,9,True,0,0,5,2,HQ
460,431,60,52,52,10,False,2,0,3,4,HQ
399,399,56,58,58,12,False,0,0,0,3,LQ_EDIT
108,101,59,20,20,11,False,0,0,1,1,HQ
564,564,38,118,118,5,False,0,0,0,1,LQ_EDIT
494,372,22,71,71,4,True,0,0,5,4,LQ_CLOSE
187,154,54,29,29,7,True,0,0,1,2,HQ
165,158,36,33,33,8,False,0,0,1,2,HQ
1629,693,42,200,200,8,True,0,0,7,2,LQ_CLOSE
407,306,70,42,42,12,True,1,0,2,1,HQ
752,752,51,126,126,10,False,0,0,0,3,LQ_EDIT
2090,2090,91,682,682,18,False,0,0,0,2,LQ_EDIT
1171,899,53,193,193,9,True,0,0,8,5,HQ
1729,993,48,273,273,8,True,0,0,5,1,HQ
3288,3288,29,663,663,4,False,0,0,0,5,LQ_EDIT
780,756,52,148,148,10,False,0,0,0,3,LQ_EDIT
1170,602,68,152,152,10,True,1,0,5,4,HQ
232,225,31,42,42,5,False,0,0,1,2,HQ
602,314,48,57,57,8,True,1,0,3,4,HQ
256,242,27,40,40,5,False,0,0,2,3,HQ
457,235,36,47,47,7,True,1,0,3,2,LQ_CLOSE
557,304,70,50,50,12,True,0,0,3,3,HQ
327,327,47,44,44,6,False,0,0,0,1,LQ_EDIT
731,681,31,97,97,5,False,2,0,6,4,LQ_CLOSE
410,410,28,106,106,5,False,0,0,0,3,LQ_EDIT
578,388,40,63,63,6,True,0,0,5,4,LQ_CLOSE
1352,484,63,148,148,9,True,1,0,2,2,HQ
351,333,73,35,35,13,False,1,0,2,3,HQ
547,547,32,185,185,6,False,0,0,0,2,LQ_EDIT
430,402,36,62,62,4,False,0,0,4,3,HQ
588,256,50,109,109,9,True,0,0,5,3,LQ_CLOSE
384,305,42,54,54,7,True,0,0,2,1,LQ_CLOSE
271,253,29,31,31,7,False,1,0,2,3,HQ
825,205,47,193,193,10,True,0,0,2,2,HQ
503,160,57,66,66,7,True,0,0,2,1,LQ_CLOSE
1313,1313,41,227,227,6,False,0,0,0,2,LQ_EDIT
317,310,39,61,61,7,False,0,0,1,2,LQ_CLOSE
352,352,138,52,52,21,False,0,0,0,2,LQ_EDIT
2502,2427,97,262,262,12,True,0,0,1,4,HQ
273,161,28,38,38,5,True,0,0,2,2,HQ
508,401,36,77,77,7,True,0,0,3,3,HQ
595,149,36,38,38,5,True,0,0,2,2,HQ
205,185,44,35,35,8,True,0,0,1,3,HQ
1149,823,84,136,136,12,True,0,0,6,2,LQ_CLOSE
7233,1055,66,965,965,8,True,0,0,6,5,HQ
470,174,26,71,71,5,True,0,0,3,2,HQ
335,250,38,45,45,7,True,0,0,3,1,LQ_CLOSE
147,133,38,24,24,7,False,0,0,2,1,LQ_CLOSE
125,118,44,22,22,8,False,0,0,1,2,LQ_CLOSE
142,135,52,32,32,11,False,0,0,1,3,HQ
426,426,41,128,128,8,False,0,0,0,4,LQ_EDIT
552,545,45,107,107,7,False,0,0,1,3,LQ_CLOSE
1548,1021,43,200,200,8,True,1,0,6,2,HQ
